Distance	Speed
28	5
12	4,2
11,2	5,5
12,9	3,9
18,5	4,5
8,3	6,4
7,8	4,4
12,3	5
4,9	6,4
11,9	5,3
12,4	5,6
11,8	4,6
12,3	5,9
24,7	5,1
12,4	4,7
17,3	5,1
33,4	5,6
11,8	5,1
25,9	4,9
11,8	4,7
25,3	5,5
14,2	5,9
17,9	5,7
11,8	4,7
12,3	5,9
12,4	4,1
18,4	5,7
18,4	5,8
18,3	5,5
18,4	5,7
12,3	5,3
11,8	5
12,3	5,6
32,6	4,8
19	4,3
12,1	5,7
20	5,2
4,9	7,4
11,8	4,8
12,3	6,5
12,4	4
4,5	5
11,7	4,6
10,2	4,3
5,4	3,3
2	9,9
14,2	5,1
16	4,9
11,8	4,9
27,3	4,7
11,8	5,1
10,6	4,9
11,6	4,2
13,1	6,1
6,1	6,4
153,5	4,9
11,8	4,9
12,3	6,2
12,4	4,2
12,3	5,7
2,9	7,9
2,1	12,2
9,8	5,8
6,8	5,3
12,4	5,4
12,4	4,7
11,8	4,6
12,3	5,4
14	4,3
11,8	4,5
12,3	5,2
2	6,2
13,9	5,1
9,7	3,9
11,6	5
14,2	5,4
11,8	4,5
24,8	5,1
12,4	4,7
34,8	4
14,2	5,4
5,2	4,5
10,5	3,6
12,3	5,2
11,8	4,9
12,3	6,2
13,2	4,3
13	5
12,9	5,1
13,9	5,6
11,8	4,3
12,2	5,8
12,5	4
12,4	4,7
11,8	5,9
11,8	5,3
12,5	4,2
15,7	5,3
12,9	5,7
6,4	4,4
5,3	4,1
26,2	5,8
18,8	5
4,9	6,9
12,4	5,4
22,9	5,3
162,7	5,5
4,9	6,5
11,8	4,7
16,6	5,1
12,4	5,7
15,9	5,4
5,1	8,7
22,4	4,9
31,1	4,7
4,9	6,3
11,8	5,1
22,9	6
12,4	4,6
12,9	5,8
11,8	5,1
12,2	5,8
24,8	4,6
14,2	5,6
11,8	4,6
12,2	6,3
24,7	5,5
6,8	4,3
17,3	5,6
11,8	4,3
15,9	5,7
5,1	6,4
16,1	4,5
11,8	4,5
4,2	6
17,4	5,1
23,5	6
11,8	4,5
12,3	6,1
16,1	5,4
11,8	4,3
12,3	5,4
12,4	4,3
7	5,2
11,8	4,1
20,1	4,4
20,8	4,5
1,7	10,8
35,9	4,7
36,9	4,8
16,8	4
9,9	5
22,9	4,6
17,3	5
11,8	4,3
36,6	5,2
44,9	4,7
11,8	4,2
21,6	5,3
39,4	5,3
5,1	8,1
26,6	4,8
53,2	5,1
18,9	4,4
43,5	5
6,1	6,3
16,4	4,8
12,3	6,1
21,1	4,6
21,1	4,8
22,7	4,7
44,4	4,8
35,8	4,4
11,8	4,9
26,2	4,9
40,6	4,4
12,4	5,3
14,1	5,3
58,7	4,8
16,2	5,2
12,3	4,9
12,3	7,1
12,4	5,2
31,8	4,7
12,3	5,1
51,6	5
38,6	4,6
12,3	4,8
81,2	4,4
130,3	4,6
67,2	4,3
43,7	4,7
12,1	4,2
56,1	4,8
39	4,1
11,8	4,5
38,5	4,8
28,2	4,6
2,9	7,4
6,1	5,6
19,6	4,9
22,2	3,8
13,6	4,5
12,6	4,1
8,7	5,3
7,9	4,7
2,4	9
4,9	6,3
18,1	3,6
25,9	3,7
1,3	11,5
14,1	5
13,4	5,5
6,4	4,7
12,9	4,5
12,1	4,4
15,7	4,1
16,2	4,4
12,8	4,6
19	4,4
29	4
12,1	5
12,3	5,2
24,8	4
12,9	5,1
11,8	4,5
31,4	4,6
19	5,1
13	5,7
11,8	4,8
13	6,2
11,8	5
27,1	5
5,2	4,6
19	4,5
12,4	4,8
25,2	5
14,3	4,8
11,8	4,6
16,9	4,5
12,4	4,6
17,4	4,4
9,2	5,7
12,3	5,8
13	5,9
11,8	6,1
13	5,7
12,3	5
12,3	5,2
12,5	4,3
31,5	4,1
11,8	4,4
24,9	4,5
17	3,9
2	8,1
11,8	4,4
7,4	5
12,4	4,7
2	6
14	5
25,7	5
24,5	3,9
11,8	4,5
4,1	5,4
4,2	5,6
4,2	3,9
16	4
22,9	4
16	3,8
15,4	4,5
16	3,8
4,2	5,6
101,9	5,2
93,9	4,8
25,7	4,9
16	4,1
16,1	4,5
16	4,4
16	4,5
24,7	4,5
16	3,9
15,4	4,6
16	3,8
32,1	4,5
25,9	4,4
48,6	4,3
37,2	4
28,8	3,9
6,7	5
7,4	4,1
17,3	4,1
6,6	5,6
14,3	4,1
13,3	4,6
8,3	4,9
12,7	4,5
16,5	4,1
20,6	4,1
16,3	4,5
18,7	4,2
36,5	3,9
19	5
16,6	4,4
29,9	4,5
16	3,8
21,1	5,1
16	3,9
11,9	5,3
10,1	4,2
31,9	4,3
18,7	4
10,8	4,7
19,8	4
11,3	4,3
11,5	5,3
21,4	5,2
32	4,9
41,9	4,7
211	4,6
216,1	5,3
25,5	3,6
16,6	4,2
25,9	4,1
16,5	4
22,1	3,9
16,6	3,7
15,4	4,5
16,5	3,9
15,4	5,1
18,4	4,2
39,5	4,2
21,5	4,8
4,8	4,7
100,9	4,7
129,7	4,6
16,6	3,8
15,4	4,2
16	3,7
16	4,2
15,4	4,1
16	4
21	3,8
15,4	3,8
16	3,8
16,1	5,1
16	4
15,4	4,8
17,2	3,9
16,6	4,6
18,3	4,3
16,1	4,8
16	4,1
16,3	4
16	3,7
18,3	4,3
4,5	5,2
17	4,2
6,1	5
6,1	5
17,3	4,2
6	4,8
16	4,1
15,4	4,9
15,4	4,3
16	3,9
15,4	4,5
16,6	4,1
15,4	5
16	4
15,4	4,5
16	3,6
20,9	4,1
32,1	3,9
15,3	6,6
28,5	4
11,9	3,7
14,5	4,3
16,6	4,1
16,2	4,4
16,7	3,8
8,3	5
5,5	3,7
13,6	3,7
16	3,7
16,1	4,3
16	3,8
15,4	4,6
14,7	5
